	ActionName	ParentTaskId	TaskId	TaskCode	IsCreatedTask	Name	StartDateTime	FinishDateTime	*LCPL Text Generic UDF 01	*LCPL Text Generic UDF 12	~ SRA MaxDuration	~ SRA MinDuration	~SRA MaxDuration	~SRA MinDuration	~SRA Wet Weather	Comment	Comments	LPS-END-Postion	LPS-SHAPE-Code	LPS-START-Position	MSP Activity ID	Production	Quantity	Responsible	Stage	TC - Finish CH	TC - Shape Code	TC - Start CH	Text8	Turbo Chart - Shape Code	Unit of Measure	V1982 - APAM_Family	V1982 - APAM_Level	V1982 - APAM_Location	V1982 - APAM_Workset	V1982 - Car Parks	V1982 - Level	V1982 - Plant	V1982 - PROGRAM	V1982 Phase	V1982x Sub-Discipline (not used)	V1982x Work Area (not used)	VBU Production	VBU Production Measure	VBU Quantity	VBU Quantity Measure	zText_01
	None	3560511	16413324	KD.1160	False	Provisional Finish Date for Level 3 Exit Ramp (By others)	19/08/2025 4:00 PM	19/08/2025 4:00 PM							V1962 - 5d Admin						11																		Main Program								
	None	3560511	16413325	KD.1170	False	Provisional Finish Date for Level 2 Exit Ramp (By others)	30/06/2025 8:00 AM	30/06/2025 8:00 AM							V1962 - 5d Admin						12																		Main Program								
	None	3560511	16414820	KD.1180	False	Provisional Finish Date for Relocation of Existing Car Rental Cabins (By others)	1/12/2023 4:00 PM	1/12/2023 4:00 PM							V1962 - 5d Admin						13																		Main Program								
	None	3560309	3560313		False	Project Periods	18/09/2023 4:00 PM	10/07/2026 4:00 PM																																							
	None	3560313	16413037	KD.1000	False	(LOE) ECI Period	18/09/2023 4:00 PM	23/04/2024 4:00 PM							V1962 - 5d Admin						17																		Main Program								
	None	3560313	16413036	KD.1030	False	(LOE) Early Works Period	4/03/2024 8:00 AM	1/07/2024 4:00 PM							V1962 - 5d Admin						15																		Main Program								
	None	3560313	16413038	KD.1040	False	(LOE) SP1 Works Period	16/05/2024 8:00 AM	8/01/2026 4:00 PM							V1962 - 5d Admin						18																		Main Program								
	None	3560313	16413039	KD.1060	False	(LOE) SP2 Works Period	23/01/2026 8:00 AM	10/07/2026 4:00 PM							V1962 - 5d PH						20																		Main Program								
	None	3560309	3560314		False	Project Completion Milestones	1/07/2024 4:00 PM	11/07/2026 4:00 PM																																							
	None	3560314	16413241	KD.1100	False	Early Works - Forecast Completion Date  (excludes SP1 A4 & A5 relocations)	1/07/2024 4:00 PM	1/07/2024 4:00 PM							V1962 - 5d PH						23								Y										Main Program								
	None	3560314	16588525	KD.1102	False	Early Works - Forecast Completion Date  (Contract Completion)	5/07/2024 4:00 PM	5/07/2024 4:00 PM							V1962 - 5d PH		28/9/23: New task added				26								Y										Main Program								
	None	3560314	16553953	KD.1104	False	Early Works - Forecast Completion Date  (SP1 A4 & A5 relocations)	12/02/2025 4:00 PM	12/02/2025 4:00 PM							V1962 - 5d PH		22/9/23: New task added.				30								Y										Main Program								
	None	3560314	16413242	KD.1110	False	D&C SP1- Forecast Completion Date (Target 12 December 2025)	8/01/2026 4:00 PM	8/01/2026 4:00 PM							V1962 - 5d PH						25																		Main Program								
	None	3560314	16413243	KD.1120	False	D&C SP2- Forecast Completion Date (Target 29 June 2026)	11/07/2026 4:00 PM	11/07/2026 4:00 PM							V1962 - 5d PH						31																		Main Program								
	None	3560314	16413244	KD.1130	False	Overall Project - Forecast Completion Date (Target 29 June 2026)	11/07/2026 4:00 PM	11/07/2026 4:00 PM							V1962 - 5d PH						34																		Main Program								
	None	3560305	3560387		False	ECI Stage	19/09/2023 8:00 AM	25/08/2025 4:00 PM																																							
	None	3560387	3560388		False	ECI for Main D&C Works	19/09/2023 8:00 AM	15/05/2024 4:00 PM																																							
	None	3560388	3560666		False	ECI Summary Activities	19/09/2023 8:00 AM	23/04/2024 4:00 PM																																							
	None	3560666	16413649	ECI.SUM.1000	False	Mobilise CPB Project Team	19/09/2023 8:00 AM	25/09/2023 4:00 PM			11	9			V1962 - 5d PH		17/11/23: Incr from 1 to 5 days.  8/9/23: Reduced from 10 to 1 day.				44																		Main Program								
	None	3560666	16413082	ECI.SUM.1010	False	Staging and Program Review	20/09/2023 8:00 AM	17/10/2023 4:00 PM			11	9			V1962 - 5d PH						43																		Main Program								
	None	3560666	16413083	ECI.SUM.1020	False	Alternatives and VM	20/09/2023 8:00 AM	15/12/2023 4:00 PM			11	9			V1962 - 5d PH						45																		Main Program								
	None	3560666	16413084	ECI.SUM.1030	False	Interface with MAR	20/09/2023 8:00 AM	1/02/2024 4:00 PM			11	9			V1962 - 5d PH		17/11/23: Extended from 17/10 to 1/2/24				46																		Main Program								
	None	3560666	16413085	ECI.SUM.1040	False	Initial Pricing and Preliminaries	20/09/2023 8:00 AM	17/10/2023 4:00 PM			11	9			V1962 - 5d PH						47																		Main Program								
	None	3560666	16413086	ECI.SUM.1050	False	Contract Terms and Conditions Review	20/09/2023 8:00 AM	17/10/2023 4:00 PM			11	9			V1962 - 5d PH						48																		Main Program								
	None	3560666	16413089	ECI.SUM.1060	False	Commence Design Development 85% - 100%	20/09/2023 8:00 AM	20/09/2023 8:00 AM			11	9			V1962 - 5d PH						51																		Main Program								
	None	3560666	16414187	ECI.SUM.1070	False	All ECI  Management Plans and Reports Approved	20/02/2024 4:00 PM	20/02/2024 4:00 PM			11	9			V1962 - 5d PH						58																		Main Program								
	None	3560666	16413087	ECI.SUM.1080	False	IC/Board Paper Submission (Construction Funding)	1/02/2024 4:00 PM	1/02/2024 4:00 PM			11	9			V1962 - 5d PH		17/11/23: Impacted by ECI.SUM.1030 (MAR Interface)				49																		Main Program								
	None	3560666	16413088	ECI.SUM.1090	False	Board Meeting (Construction Funding)	15/02/2024 4:00 PM	15/02/2024 4:00 PM			11	9			V1962 - 5d PH						50																		Main Program								
	None	3560666	16413090	ECI.SUM.1100	False	Construction Segmentation Plans and Approval	22/11/2023 8:00 AM	6/03/2024 4:00 PM			11	9			V1962 - 5d PH		15/2/24: Link to Finalise D&C Offer changed from FF10 to FF5.				52																		Main Program								
	None	3560666	16414185	ECI.SUM.1110	False	Complete Trade Package Pricing - ""Open Book"" Basis (based on 85% design)	7/03/2024 4:00 PM	7/03/2024 4:00 PM			11	9			V1962 - 5d PH						56																		Main Program								
	None	3560666	16414184	ECI.SUM.1120	False	Complete Design Development 85% - 100%	26/02/2024 4:00 PM	26/02/2024 4:00 PM			11	9			V1962 - 5d PH						53								Y										Main Program								
	None	3560666	16413091	ECI.SUM.1130	False	Finalise D&C Offer	23/02/2024 8:00 AM	15/03/2024 4:00 PM			11	9			V1962 - 5d PH	8/9/23: Reduce from 15 to 12 days?					55			DA															Main Program								
	None	3560666	16970734	ECI.SUM.1135	False	Submit un-vetted Trade Package offer   ** new **	7/03/2024 8:00 AM	7/03/2024 4:00 PM			11	9			V1962 - 5d PH		9/2/24: New task added				63								Y										Main Program								
	None	3560666	16413092	ECI.SUM.1140	False	Submit D&C Offer	18/03/2024 8:00 AM	18/03/2024 4:00 PM			11	9			V1962 - 5d PH		9/2/24: Successor was ECI.SUM.1150, changed to ECI.SUM.1160				62			DA					Y										Main Program								
	None	3560666	16413093	ECI.SUM.1150	False	Review and Assessment / Clarification of Offer	16/02/2024 8:00 AM	15/03/2024 4:00 PM			11	9			V1962 - 5d PH		9/2/24: Link from ECI.SUM.1140 replaced by ECI.SUM.610				64								Y										Main Program								
	None	3560666	16413094	ECI.SUM.1160	False	Contract Terms and Renegotiation	19/03/2024 8:00 AM	17/04/2024 4:00 PM			11	9			V1962 - 5d PH						65								Y										Main Program								
	None	3560666	16413095	ECI.SUM.1170	False	Target Contract Award - D&C Building Works	17/04/2024 4:00 PM	17/04/2024 4:00 PM			11	9			V1962 - 5d PH		9/2/24: Target date constraint added				7								Y										Main Program								
	None	3560666	16414799	ECI.SUM.1180	False	Finalise Construction Mobilisation Documentation	18/04/2024 8:00 AM	23/04/2024 4:00 PM			11	9			V1962 - 5d PH						69																		Main Program								
	None	3560388	3777157		False	Target Cost Breakdown by Trade - Schedule 14.2	30/01/2024 4:00 PM	15/03/2024 4:00 PM																																							
	None	3777157	16968860	ECI.SUM.5010	False	Trade Pkg ready for Consultant Review (wk 2) - Traffic Management and Temporary Works	30/01/2024 4:00 PM	30/01/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				71								Y										Main Program								
	None	3777157	16968861	ECI.SUM.5020	False	Trade Pkg ready for Consultant Review (wk 1) - Demolition and Site Clearance	13/02/2024 4:00 PM	13/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				73								Y										Main Program								
	None	3777157	16968862	ECI.SUM.5030	False	Trade Pkg ready for Consultant Review (wk 1) - Groundworks & Piling	15/02/2024 4:00 PM	15/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				75								Y										Main Program								
	None	3777157	16968863	ECI.SUM.5040	False	Trade Pkg ready for Consultant Review (wk 4) - Concrete	5/03/2024 4:00 PM	5/03/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				78								Y										Main Program								
	None	3777157	16968864	ECI.SUM.5050	False	Trade Pkg ready for Consultant Review (wk 1) - Masonry	13/02/2024 4:00 PM	13/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				81								Y										Main Program								
	None	3777157	16968865	ECI.SUM.5060	False	Trade Pkg ready for Consultant Review (wk 3) - Structural Steel	29/02/2024 4:00 PM	29/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				83								Y										Main Program								
	None	3777157	16968866	ECI.SUM.5070	False	Trade Pkg ready for Consultant Review (wk 2) - Façade and External Glazing	21/02/2024 4:00 PM	21/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				88								Y										Main Program								
	None	3777157	16968867	ECI.SUM.5080	False	Trade Pkg ready for Consultant Review (wk 3) - Metalwork	20/02/2024 4:00 PM	20/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				90								Y										Main Program								
	None	3777157	16968868	ECI.SUM.5090	False	Trade Pkg ready for Consultant Review (wk 2) - Wayfinding & Statutory Signage	20/02/2024 4:00 PM	20/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				92								Y										Main Program								
	None	3777157	16968869	ECI.SUM.5100	False	Trade Pkg ready for Consultant Review - Carpentry - N/A  (not used)	27/02/2024 4:00 PM	27/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				94								Y										Main Program								
	None	3777157	16968870	ECI.SUM.5110	False	Trade Pkg ready for Consultant Review (wk 4) - Joinery	27/02/2024 4:00 PM	27/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				96								Y										Main Program								
	None	3777157	16968871	ECI.SUM.5120	False	Trade Pkg ready for Consultant Review (wk 2) - Internal Glazing and Screens	21/02/2024 4:00 PM	21/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				97								Y										Main Program								
	None	3777157	16968872	ECI.SUM.5130	False	Trade Pkg ready for Consultant Review (wk 3) - Partition and Wall Linings	21/02/2024 4:00 PM	21/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				99								Y										Main Program								
	None	3777157	16968873	ECI.SUM.5140	False	Trade Pkg ready for Consultant Review (wk 3) - Roofing and Roof Plumbing	28/02/2024 4:00 PM	28/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				100								Y										Main Program								
	None	3777157	16968874	ECI.SUM.5150	False	Trade Pkg ready for Consultant Review (wk 3) - Doors and Hardware	27/02/2024 4:00 PM	27/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				102								Y										Main Program								
	None	3777157	16968875	ECI.SUM.5160	False	Trade Pkg ready for Consultant Review (wk 2) - Floor Finishes	21/02/2024 4:00 PM	21/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				103								Y										Main Program								
	None	3777157	16968876	ECI.SUM.5170	False	Trade Pkg ready for Consultant Review (wk 3) - Ceiling Finishes	21/02/2024 4:00 PM	21/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				105								Y										Main Program								
	None	3777157	16968879	ECI.SUM.5200	False	Trade Pkg ready for Consultant Review (wk 3) - Wall Finishes	21/02/2024 4:00 PM	21/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				106								Y										Main Program								
	None	3777157	16968880	ECI.SUM.5210	False	Trade Pkg ready for Consultant Review (wk 3) - Painting	21/02/2024 4:00 PM	21/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				107								Y										Main Program								
	None	3777157	16968881	ECI.SUM.5220	False	Trade Pkg ready for Consultant Review (wk 1) - Hydraulics and Drainage	15/02/2024 4:00 PM	15/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				108								Y										Main Program								
	None	3777157	16968882	ECI.SUM.5230	False	Trade Pkg ready for Consultant Review (wk 4) - Electrical Installations	7/03/2024 4:00 PM	7/03/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				110								Y										Main Program								
	None	3777157	16968883	ECI.SUM.5240	False	Trade Pkg ready for Consultant Review - Specialist Lighting - N/A  (not used)	7/03/2024 4:00 PM	7/03/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				114								Y										Main Program								
	None	3777157	16968884	ECI.SUM.5250	False	Trade Pkg ready for Consultant Review (wk 4) - Intelligent Traffic Systems	4/03/2024 4:00 PM	4/03/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				115								Y										Main Program								
	None	3777157	16968885	ECI.SUM.5260	False	Trade Pkg ready for Consultant Review (wk 1) - Security Installations	8/02/2024 4:00 PM	8/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				117								Y										Main Program								
	None	3777157	16968886	ECI.SUM.5270	False	Trade Pkg ready for Consultant Review (wk 1) - Mechanical Installations	14/02/2024 4:00 PM	14/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				119								Y										Main Program								
	None	3777157	16968887	ECI.SUM.5280	False	Trade Pkg ready for Consultant Review (wk 2) - Fire Protection	22/02/2024 4:00 PM	22/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				122								Y										Main Program								
	None	3777157	16968888	ECI.SUM.5290	False	Trade Pkg ready for Consultant Review (wk 1) - Lifts / Escalators	8/02/2024 4:00 PM	8/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				125								Y										Main Program								
	None	3777157	16968889	ECI.SUM.5300	False	Trade Pkg ready for Consultant Review (wk 4) - Builder's Works in Connection	7/03/2024 4:00 PM	7/03/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				127								Y										Main Program								
	None	3777157	16968890	ECI.SUM.5310	False	Trade Pkg ready for Consultant Review - Pre-fabricated Buildings / Units - N/A  (not used)	29/02/2024 4:00 PM	29/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				129								Y										Main Program								
	None	3777157	16968891	ECI.SUM.5320	False	Trade Pkg ready for Consultant Review (wk 4) - Exterior Elements and Landscaping	5/02/2024 4:00 PM	5/02/2024 4:00 PM			11	9			V1962 - 5d PH		7/2/24: New task added				130								Y										Main Program								
	None	3777157	16968932	ECI.SUM.610	False	Trade Package Bundle - Review & Approval - Week 1	16/02/2024 8:00 AM	22/02/2024 4:00 PM			11	9			V1962 - 5d PH		8/2/24: New task added				60			Matt					Y										Main Program								
	None	3777157	16968933	ECI.SUM.620	False	Trade Package Bundle - Review & Approval - Week 2	23/02/2024 8:00 AM	29/02/2024 4:00 PM			11	9			V1962 - 5d PH		8/2/24: New task added				59			Matt					Y										Main Program								
	None	3777157	16968934	ECI.SUM.630	False	Trade Package Bundle - Review & Approval - Week 3	1/03/2024 8:00 AM	7/03/2024 4:00 PM			11	9			V1962 - 5d PH		8/2/24: New task added				61			Matt					Y										Main Program								
	None	3777157	16968935	ECI.SUM.640	False	Trade Package Bundle - Review & Approval - Week 4	8/03/2024 8:00 AM	15/03/2024 4:00 PM			11	9			V1962 - 5d PH		8/2/24: New task added				57			Matt					Y										Main Program								
	None	3560388	3560667		False	ABC & PERCOW Approval Milestones	15/05/2024 4:00 PM	15/05/2024 4:00 PM																																							
	None	3560667	16413096	ECI.APR.1000	False	D&C SP1 & 2 - Receive ABC Permit & PERCOW Approval	15/05/2024 4:00 PM	15/05/2024 4:00 PM			11	9			V1962 - 5d PH						133																		Main Program								
	None	3560387	3560668		False	ECI for Early Works	15/11/2023 8:00 AM	20/03/2024 4:00 PM																																							
	None	3560668	3560669		False	Site Establishment	15/11/2023 8:00 AM	1/03/2024 4:00 PM																																							
	None	3560669	16414193	ECI.EWK.1000	False	Site Establishment - Receive ABC Permit & PERCOW Approval  *** not required ***	15/11/2023 8:00 AM	15/11/2023 8:00 AM			11	9			V1962 - 5d PH	6/12/23: ""not required"" added to description	6/12/23: ""not required"" added to description				140																		Main Program								
	None	3560669	16414186	ECI.EWK.1010	False	Site Establishment - Complete Procurement	1/03/2024 4:00 PM	1/03/2024 4:00 PM			11	9			V1962 - 5d PH						137																		Main Program								
	None	3560668	3560389		False	Utilities Relocation	15/12/2023 4:00 PM	20/03/2024 4:00 PM																																							
	None	3560389	16413097	ECI.EWK.1020	False	Utilities Relocation - Complete Design 85% - 100%	15/12/2023 4:00 PM	15/12/2023 4:00 PM			11	9			V1962 - 5d PH						143																		Main Program								
	None	3560389	16414194	ECI.EWK.1030	False	Utilities Relocation - Complete Procurement	7/03/2024 4:00 PM	7/03/2024 4:00 PM			11	9			V1962 - 5d PH						147																		Main Program								
	None	3560389	16413098	ECI.EWK.1040	False	Utilities Relocation - Receive ABC Permit & PERCOW Approval	20/03/2024 4:00 PM	20/03/2024 4:00 PM			11	9			V1962 - 5d PH						145								Y										Main Program								
	None	3560668	3560390		False	Rental Wash Bays	18/12/2023 4:00 PM	20/03/2024 4:00 PM																																							
	None	3560390	16414195	ECI.EWK.1050	False	Rental Wash Bays - Complete Design 85% - 100%	18/12/2023 4:00 PM	18/12/2023 4:00 PM			11	9			V1962 - 5d PH						152																		Main Program								
	None	3560390	16414196	ECI.EWK.1060	False	Rental Wash Bays - Receive ABC Permit & PERCOW Approval	20/03/2024 4:00 PM	20/03/2024 4:00 PM			11	9			V1962 - 5d PH						154								Y										Main Program								
	None	3560390	16414197	ECI.EWK.1070	False	Rental Wash Bays - Procurement Completed	14/03/2024 4:00 PM	14/03/2024 4:00 PM			11	9			V1962 - 5d PH						155																		Main Program								
	None	3560387	3560317		False	Management Plans & Reports	20/09/2023 8:00 AM	3/06/2024 4:00 PM																																							
	None	3560317	3560350		False	Key Dates	20/09/2023 8:00 AM	6/03/2024 4:00 PM																																							
	None	3560350	16414156	ECI.MGP.0000	False	Commence Management Plans & Reports	20/09/2023 8:00 AM	20/09/2023 8:00 AM							V1962 - 5d Admin						164																										
	None	3560350	16413011	ECI.MGP.0900	False	Complete All Management Plans for ECI Stage	20/02/2024 4:00 PM	20/02/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Actual finish removed, was 19/1/24				68																										
	None	3560350	16414800	ECI.MGP.1280	False	Complete All Management Plans for D&C Stage	6/03/2024 4:00 PM	6/03/2024 4:00 PM							V1962 - 5d Admin						54																										
	None	3560317	3777953		False	Required for ECI Stage	20/09/2023 8:00 AM	20/02/2024 4:00 PM																																							
	None	3777953	3560326		False	Principals Project Requirement Review & Report	20/09/2023 8:00 AM	19/01/2024 4:00 PM																																							
	None	3560326	16413029	ECI.MGP.1240	False	Principals Project Requirement Review & Report: Prepare & Submit	20/09/2023 8:00 AM	1/11/2023 4:00 PM							V1962 - 5d Admin		15/2/24: Updated submission 21/12/23.				175																										
	None	3560326	16413028	ECI.MGP.1250	False	Principals Project Requirement Review & Report: Review & Approval	2/11/2023 8:00 AM	19/01/2024 4:00 PM							V1962 - 5d Admin		15/2/24: No response in 10 days, so closed out.				163																										
	None	3777953	3560778		False	Trade Package Procurement Plan	20/09/2023 8:00 AM	12/01/2024 4:00 PM																																							
	None	3560778	16414803	ECI.MGP.1330	False	Trade Package Procurement Plan: Prepare & Submit	20/09/2023 8:00 AM	31/10/2023 4:00 PM							V1962 - 5d Admin						176																										
	None	3560778	16414804	ECI.MGP.1340	False	Trade Package Procurement Plan: Review & Approval	1/11/2023 8:00 AM	12/01/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Finish corrected, was 19/1.				161																										
	None	3777953	3560777		False	Engineering & Design Management Plan	20/09/2023 8:00 AM	15/02/2024 4:00 PM																																							
	None	3560777	16414801	ECI.MGP.1290	False	Engineering & Design Management Plan: Review & Approval	6/11/2023 8:00 AM	15/02/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Descr changed, was ""Early Works Design & Procurement Plan"".				160			SG																							
	None	3560777	16414802	ECI.MGP.1300	False	Engineering & Design Management Plan: Prepare & Submit	20/09/2023 8:00 AM	3/11/2023 4:00 PM							V1962 - 5d Admin		15/2/24: Descr changed, was ""Early Works Design & Procurement Plan"".				179			SG																							
	None	3777953	3650221		False	BIM Execution Plan	20/09/2023 8:00 AM	20/02/2024 4:00 PM																																							
	None	3650221	16593015	ECI.MGP.1350	False	BIM Execution Plan: Prepare & Submit	20/09/2023 8:00 AM	27/10/2023 4:00 PM							V1962 - 5d Admin		6/10/23: New task added				181			SG																							
	None	3650221	16593016	ECI.MGP.1360	False	BIM Execution Plan: Review & Approval	30/10/2023 8:00 AM	20/02/2024 4:00 PM							V1962 - 5d Admin		6/10/23: New task added				159			SG																							
	None	3777953	3560328		False	Traffic Management Plan	4/10/2023 8:00 AM	20/02/2024 4:00 PM																																							
	None	3560328	16413025	ECI.MGP.1140	False	Traffic Management Plan: Prepare & Submit	4/10/2023 8:00 AM	6/11/2023 4:00 PM		x					V1962 - 5d Admin						183			James																							
	None	3560328	16414153	ECI.MGP.1150	False	Traffic Management Plan: Review & Approval	8/11/2023 8:00 AM	20/02/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Finish corrected, was 19/1.				162			James																							
	None	3777953	3560327		False	Early Works Construction Management Plan	4/10/2023 8:00 AM	19/01/2024 4:00 PM																																							
	None	3560327	16413026	ECI.MGP.1000	False	Early Works Construction Management Plan: Prepare & Submit	4/10/2023 8:00 AM	17/11/2023 4:00 PM							V1962 - 5d Admin		15/2/24: Descr changed, prefixed ""Early Works"". Finish date corrected, was 3/11.				185			Matt																							
	None	3560327	16413027	ECI.MGP.1010	False	Early Works Construction Management Plan: Review & Approval	20/11/2023 8:00 AM	19/01/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Descr changed, prefixed ""Early Works"". Start date corrected, was 6/11.				187			Matt																							
	None	3560317	3777954		False	Required for D&C Stage	20/09/2023 8:00 AM	6/03/2024 4:00 PM																																							
	None	3777954	3560330		False	Stakeholder Engagement and Communications Plan	20/09/2023 8:00 AM	6/03/2024 4:00 PM																																							
	None	3560330	16413024	ECI.MGP.1100	False	Communications Management Plan: Prepare & Submit	20/09/2023 8:00 AM	21/02/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Draft due today.  4/12/23: Mtg to be held to clarify				168			GF					Y																		
	None	3560330	16413023	ECI.MGP.1110	False	Communications Management Plan: Review & Approval	22/02/2024 8:00 AM	6/03/2024 4:00 PM							V1962 - 5d Admin		4/12/23: Delinked from ECI.MGP.0900				190			GF					Y																		
	None	3777954	3560664		False	BIM Model Plan																																									
	None	3777954	3560329		False	Environmental Management Plan	4/10/2023 8:00 AM	5/02/2024 4:00 PM																																							
	None	3560329	16414155	ECI.MGP.1260	False	Environmental Management Plan: Prepare & Submit	4/10/2023 8:00 AM	3/11/2023 4:00 PM							V1962 - 5d Admin						186																										
	None	3560329	16414154	ECI.MGP.1270	False	Environmental Management Plan: Review & Approval	6/11/2023 8:00 AM	5/02/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Completed Wed 21/2/24.				166																										
	None	3777954	3560325		False	OH&S Management Plan	4/10/2023 8:00 AM	19/01/2024 4:00 PM																																							
	None	3560325	16413030	ECI.MGP.1060	False	OH&S Management Plan: Prepare & Submit	4/10/2023 8:00 AM	24/11/2023 4:00 PM							V1962 - 5d Admin						194																										
	None	3560325	16413031	ECI.MGP.1070	False	OH&S Management Plan: Review & Approval	27/11/2023 8:00 AM	19/01/2024 4:00 PM							V1962 - 5d Admin						172																										
	None	3777954	3560336		False	COVID Safe Plan	18/10/2023 8:00 AM	29/01/2024 4:00 PM																																							
	None	3560336	16413015	ECI.MGP.1220	False	COVID Safe Management Plan: Prepare & Submit	18/10/2023 8:00 AM	12/01/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Finish corrected, was 24/11/23				196																										
	None	3560336	16413016	ECI.MGP.1230	False	COVID Safe Administration Management Plan: Review & Approval	15/01/2024 8:00 AM	29/01/2024 4:00 PM							V1962 - 5d Admin		15/2/24: Start & finish corrected, was 27/11/23 & 19/1/24				165																										
	None	3777954	3560335		False	Risk Management Plan	18/10/2023 8:00 AM	19/01/2024 4:00 PM																																							
	None	3560335	16413013	ECI.MGP.1120	False	Risk Management Plan: Prepare & Submit	18/10/2023 8:00 AM	3/11/2023 4:00 PM							V1962 - 5d Admin						198																										
